id,fecha_entrenamiento,mse,rmse,r2
1,2024-11-19 13:59:00.640,0.058240208611424565,0.24133008227617328,0.8676086068153381
2,2024-11-19 14:12:33.843,0.03306996945213265,0.18185150384897192,0.9248254895210266
3,2024-11-19 14:18:15.973,0.06095124888150849,0.24688306722314612,0.8614458441734314
4,2024-11-19 14:20:02.357,0.057622593861581826,0.24004706592995848,0.8690125346183777
5,2024-11-19 14:22:23.507,0.09972561302242934,0.31579362410034395,0.7733041048049927
6,2024-11-19 14:23:18.403,0.08499126314159357,0.2915326107686644,0.8067982196807861
7,2024-11-19 14:24:07.063,0.12010495787184962,0.3465616220412318,0.7269778847694397
8,2024-11-20 14:08:29.743,0.03341628341786892,0.18280121284572737,0.9240382313728333
9,2024-11-20 14:08:56.313,0.06554355849507096,0.25601476226005204,0.8510066270828247
10,2024-11-20 14:09:23.877,0.05902415753487658,0.24294887843922347,0.8658265471458435
11,2024-11-20 14:09:43.227,0.07554081069133509,0.27484688590437967,0.8282809257507324
12,2024-11-20 14:10:51.640,0.041840645259554776,0.20454986008197312,0.9048880338668823
13,2024-11-20 14:11:53.173,0.042513021288734416,0.20618686012628062,0.9033595323562622
14,2024-11-21 20:25:31.073,0.09018189025224711,0.30030299740802974,0.7949988842010498
18,2024-11-22 02:36:16.263,0.06212428682163681,0.24924744095303528,0.8587793111801147
19,2024-11-22 02:37:15.717,0.0672511210372692,0.2593282110324081,0.8471249938011169
20,2024-11-22 02:37:49.917,0.03609497377811367,0.18998677263987004,0.9179490208625793
21,2024-11-26 00:00:00.000,0.06274478514661229,0.25048909187150703,0.8573688268661499
22,2024-11-26 00:00:00.000,0.08397936234902185,0.2897919294062929,0.8090984225273132
23,2024-11-26 00:00:00.000,0.058518356782259265,0.24190567744941263,0.8669763207435608
24,2024-11-26 00:00:00.000,0.09675264848843905,0.311050877652578,0.7800622582435608
25,2024-11-26 00:00:00.000,0.0630468548620618,0.2510913277316877,0.8566821217536926
26,2024-11-26 00:00:00.000,0.05166622245537039,0.22730205114642144,0.8825525045394897
27,2024-11-26 00:00:00.000,0.0639011931975436,0.2527868532925389,0.8547400236129761
28,2024-11-26 00:00:00.000,0.0318713835234698,0.17852558226615534,0.9275500774383545
29,2024-11-26 00:00:00.000,0.03609478638597724,0.18998627946769536,0.9179494976997375
30,2024-11-24 00:00:00.000,0.09329108006293009,0.30543588535555233,0.7879310846328735
31,2024-11-24 00:00:00.000,0.05596244833723048,0.23656383564955671,0.8727864027023315
32,2024-11-24 00:00:00.000,0.055408678201139594,0.23539048026872197,0.874045193195343
33,2024-11-24 00:00:00.000,0.04670657467025291,0.21611703928717169,0.8938267827033997
34,2024-11-24 00:00:00.000,0.09390706430384554,0.3064425954462688,0.7865307927131653
35,2024-11-24 00:00:00.000,0.0504164033957855,0.22453597350042934,0.8853936195373535
36,2024-11-23 00:00:00.000,0.09904688871619308,0.3147171566918351,0.7748470306396484
37,2024-11-23 00:00:00.000,0.06988953403931168,0.2643662876376481,0.8411273956298828
38,2024-11-23 00:00:00.000,0.06216086644825157,0.2493208102992038,0.8586961627006531
39,2024-11-23 00:00:00.000,0.0789706493860331,0.2810171692015153,0.8204842209815979
40,2024-11-23 00:00:00.000,0.042729150828425384,0.20671030653652803,0.9028682708740234
41,2024-11-23 00:00:00.000,0.09173386605473983,0.3028759912154475,0.7914709448814392
42,2024-11-21 00:00:00.000,0.10034250077430903,0.31676884438705305,0.7719018459320068
43,2024-11-21 00:00:00.000,0.07914529320514063,0.2813277327338004,0.820087194442749
44,2024-11-21 00:00:00.000,0.03590641825889916,0.1894898895954588,0.918377697467804
45,2024-11-21 00:00:00.000,0.023411581731997342,0.153008436800058,0.9467809200286865
46,2024-11-21 00:00:00.000,0.06334362169520838,0.2516815879145878,0.8560075163841248
47,2024-11-25 00:00:00.000,0.041898361199086326,0.20469089183226089,0.9047567844390869
48,2024-11-25 00:00:00.000,0.04205415212938287,0.20507109042813146,0.9044026732444763
49,2024-11-25 00:00:00.000,0.07703359128031144,0.27754925919611356,0.8248875141143799
50,2024-11-25 00:00:00.000,0.08630815771977954,0.2937825007038022,0.8038046360015869
51,2024-11-25 00:00:00.000,0.09113586306786203,0.3018871694323262,0.7928302884101868
52,2024-11-25 00:00:00.000,0.05588548420881066,0.23640110873007905,0.8729613423347473
53,2024-11-18 00:00:00.000,0.0465775614073925,0.2158183528048356,0.8941200375556946
54,2024-11-18 00:00:00.000,0.032906297178879045,0.18140092937710944,0.9251975417137146
55,2024-11-18 00:00:00.000,0.052429360502484895,0.2289745848396387,0.8808177709579468
56,2024-11-18 00:00:00.000,0.04356535934503453,0.20872316437097854,0.9009674191474915
57,2024-11-18 00:00:00.000,0.11118756205496826,0.33344799002988196,0.7472488880157471
58,2024-11-18 00:00:00.000,0.07989189395973115,0.2826515415838575,0.8183900713920593
59,2024-11-17 00:00:00.000,0.07438947860787269,0.27274434661028757,0.830898106098175
60,2024-11-17 00:00:00.000,0.035677578704707,0.18888509391878175,0.9188978672027588
61,2024-11-17 00:00:00.000,0.060718522614552045,0.24641128751449687,0.8619748950004578
62,2024-11-17 00:00:00.000,0.0670595212739268,0.25895853195816276,0.8475605249404907
63,2024-11-17 00:00:00.000,0.06782011011915824,0.26042294468644317,0.845831573009491
64,2024-11-17 00:00:00.000,0.05593194980435948,0.23649936533606064,0.8728557229042053
65,2024-11-16 00:00:00.000,0.10544077789247197,0.32471645768650526,0.7603124380111694
66,2024-11-16 00:00:00.000,0.04685308121774598,0.21645572576798697,0.8934937715530396
