AñoProyeccion,Edad,NivelEducativo,Ocupacion,Vivienda,Ingresos,AreaResidencia,FrecuenciaActualizacion,PrimeraAccion,QueHaceConDispositivos,FrecuenciaReciclaje,DispositivosaAdquiridos,DispositivosDesuso,InformadoCentrosReciclaje,ParticipacionCampanas,ImportanciaReciclaje,BarrerasReciclaje,FactoresMotivacion,FamiliaridadTecnologias,DisposicionApp,ComodidadApps,CaracteristicasDeseadas,FamiliaridadCiudadInteligente,DispositivosReemplazadosReparados,PracticasSostenibles,Televisor,Computadora,TelefonoMovil,ElectrodomesticosInteligentes,TiposDispositivosDesechados,TiposDispositivosReciclados,TotalDispositivos,TotalProductosReciclados,TotalProductosDesechados,TotalProductos,Televisor_Desechado,Computadora_Desechado,Baterías_Desechado,Teléfono móvil básico_Desechado,Console de videojuegos_Desechado,Tablet_Desechado,Teléfono móvil inteligente_Desechado,"Electrodomésticos inteligentes (nevera, lavadora, etc.)_Desechado","Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)_Desechado",Otra_Desechado
2024,21.0,3,1,3,600,2,2,1,1,0.0,1,0,0,0,1,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",0,1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,4,1,1,1,1,"{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 1, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 0, 'Computadora': 1, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 1, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 0, 'Otra': 0}",1,2,1,3,0,0,0,0,0,0,1,0,0,0
2024,21.0,3,1,1,200,2,2,1,1,0.0,1,0,0,0,1,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",1,1,2,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,4,1,1,1,1,"{'Televisor': 0, 'Computadora': 1, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 1, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 0, 'Otra': 0}",1,1,1,2,0,1,0,0,0,0,0,0,0,0
2024,21.0,3,1,2,600,1,2,2,2,0.5,2,1,0,0,2,2,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 1, 'Otro': 0}",0,1,1,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,2,4,1,1,1,0,"{'Televisor': 1, 'Computadora': 1, 'Baterías': 0, 'Teléfono móvil inteligente': 1, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 1, 'Computadora': 1, 'Baterías': 0, 'Teléfono móvil inteligente': 1, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 0, 'Otra': 0}",3,3,3,6,1,1,0,0,0,0,1,0,0,0
2024,29.5,2,1,3,200,1,3,2,1,0.0,2,2,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 0, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",0,1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,2,1,1,1,1,0,"{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 1, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 1, 'Computadora': 1, 'Baterías': 0, 'Teléfono móvil inteligente': 1, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 0, 'Otra': 0}",4,3,1,4,0,0,0,0,0,0,1,0,0,0
2024,21.0,3,1,2,0,1,2,4,3,0.5,2,0,0,0,1,2,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 1, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",0,1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,4,1,1,1,1,"{'Televisor': 1, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 1, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 0, 'Otra': 0}",2,1,1,2,1,0,0,0,0,0,0,0,0,0
2024,21.0,3,1,2,1000,1,2,2,4,0.0,2,1,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",0,1,2,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,1,3,1,1,1,1,"{'Televisor': 0, 'Computadora': 1, 'Baterías': 1, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 1, 'Otra': 0}",3,1,2,3,0,1,1,0,0,0,0,0,0,0
2024,21.0,3,1,3,0,2,2,1,1,0.0,1,2,0,0,2,1,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 1, 'Conocer el impacto ambiental positivo de mi acción': 1, 'Otro': 0}",1,0,2,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 1, 'Otro': 0}",1,1,4,1,1,1,1,"{'Televisor': 0, 'Computadora': 0, 'Baterías': 1, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 1, 'Tablet': 1, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 1, 'Otra': 0}","{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 1, 'Otra': 0}",3,1,4,5,0,0,1,1,0,1,0,0,1,0
2024,39.5,2,2,1,600,3,2,3,2,0.5,2,3,0,0,2,3,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 0, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 1, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",0,1,1,"{'Información sobre puntos de reciclaje cercanos': 1, 'Recordatorios para reciclar dispositivos en desuso': 0, 'Información sobre el impacto ambiental de los dispositivos': 1, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,1,5,1,1,1,0,"{'Televisor': 0, 'Computadora': 1, 'Baterías': 0, 'Teléfono móvil inteligente': 1, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 0, 'Computadora': 1, 'Baterías': 1, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 0, 'Otra': 0}",5,2,2,4,0,1,0,0,0,0,1,0,0,0
2024,21.0,3,1,2,200,2,2,2,3,0.5,2,1,1,0,2,4,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 0, 'Mayor información sobre cómo y dónde reciclar': 0, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 1, 'Otro': 0}",0,1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 0, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",1,2,4,1,1,1,1,"{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 1, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 1, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 0, 'Otra': 0}",3,1,1,2,0,0,0,1,0,0,0,0,0,0
2024,29.5,3,2,2,600,3,3,2,1,0.0,2,1,0,0,1,2,"{'Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)': 1, 'Mayor información sobre cómo y dónde reciclar': 1, 'Más puntos de recolección cerca de mi domicilio': 0, 'Garantía de que los datos personales serán eliminados de forma segura': 0, 'Conocer el impacto ambiental positivo de mi acción': 0, 'Otro': 0}",0,1,2,"{'Información sobre puntos de reciclaje cercanos': 0, 'Recordatorios para reciclar dispositivos en desuso': 1, 'Información sobre el impacto ambiental de los dispositivos': 0, 'Recompensas por reciclar': 1, 'Consejos para prolongar la vida útil de los dispositivos': 0, 'Otro': 0}",0,3,4,1,1,1,0,"{'Televisor': 0, 'Computadora': 1, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Otra': 0}","{'Televisor': 0, 'Computadora': 0, 'Baterías': 0, 'Teléfono móvil inteligente': 0, 'Teléfono móvil básico': 0, 'Tablet': 0, 'Console de videojuegos': 0, 'Electrodomésticos inteligentes (nevera, lavadora, etc.)': 0, 'Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)': 0, 'Ninguno': 1, 'Otra': 0}",3,1,1,2,0,1,0,0,0,0,0,0,0,0
